english,luganda
"The clan leaders met to discuss the development of their community.","Abakulembeze b'ebika baakuŋŋaana okukubaganya ebirowoozo ku nkulakulana y'ekitundu kyabwe."
"How is the Kabaka of Buganda doing today?","Kabaka w'e Buganda alina atya leero?"
"In Buganda culture, respect for elders is very important.","Mu buwangwa bwa Buganda okuwa abakadde ekitiibwa kikulu nnyo."
"The royal palace is a symbol of unity in Buganda.","Olubiri lwa Kabaka kabonero ka bumu mu Buganda."
"Clan meetings help solve community problems peacefully.","Enkuŋŋaana z'ebika ziyamba okugonjoola ebizibu by'ekitundu mu mirembe."
"Traditional ceremonies preserve Buganda history and identity.","Emikolo gy'obuwangwa gikuuma ebyafaayo n'endagamuntu ya Buganda."
"People respect the Kabaka as the leader of Buganda.","Abantu bassa ekitiibwa mu Kabaka ng'omukulembeze wa Buganda."
"The council discussed how to support youth in the kingdom.","Lukiiko lwakubaganya ebirowoozo ku ngeri y'okuyamba abavubuka mu bwakabaka."
"Our elders teach us to speak with respect.","Abakadde baffe batuyigiriza okwogera n'ekitiibwa."
"The clan gathered to welcome visitors.","Ekika kyakuŋŋaana okwaniriza abagenyi."
"The Kabaka encouraged unity among all clans.","Kabaka yakubiriza obumu mu bika byonna."
"Respectful greetings are part of Buganda identity.","Okulamusa n'ekitiibwa kitundu ku ndagamuntu ya Buganda."
"The community worked together to clean the well.","Abantu b'ekitundu baakolera wamu okuyonja oluzzi."
"Children were taught the history of Buganda.","Abaana baayigirizibwa ebyafaayo bya Buganda."
"The ceremony began with traditional songs.","Omukolo gwatandika n'ennyimba z'obuwangwa."
"The leaders called for peace in the community.","Abakulembeze baayita ku mirembe mu kitundu."
"The Kabaka's message emphasized discipline and service.","Obubaka bwa Kabaka bwanyweza empisa n'okuweereza."
"Families attended the cultural celebration.","Amaka gaabeerawo ku mukolo gw'obuwangwa."
"The kingdom values wisdom from elders.","Obwakabaka butwala amagezi g'abakadde ng'ekikulu."
"Traditional values guide our daily lives.","Empisa z'obuwangwa zitulagiriza mu bulamu bwa buli lunaku."
"The youth learned proverbs from their grandparents.","Abavubuka baayiga enfumo okuva eri bajjajjaabwe."
"The village welcomed the new clan head.","Ekyalo kyayaniriza omukulu omuggya ow'ekika."
"People met at the palace for community dialogue.","Abantu baakuŋŋaanira ku lubiri okukubaganya ebirowoozo ku by'ekitundu."
"The king reminded everyone to preserve culture.","Kabaka yajjukiza bonna okukuuma obuwangwa."
"Women's groups supported families during the ceremony.","Ebibiina by'abakyala byayambako amaka mu kiseera ky'omukolo."
"The elders resolved the dispute with fairness.","Abakadde baagonjoola empaka mu bwenkanya."
"The clan protected sacred sites in the community.","Ekika kyakuuma ebifo ebitukuvu mu kitundu."
"Buganda traditions encourage responsibility and respect.","Ennono za Buganda zikubiriza obuvunaanyizibwa n'ekitiibwa."
"The royal drums announced the start of the gathering.","Engoma za Kabaka zaalanga okutandika kw'enkuŋŋaana."
"Community leaders planned development projects together.","Abakulembeze b'ekitundu baateekateeka pulojekiti z'enkulakulana wamu."
